feature,count,freq
submand__sym__max__ct__wavelet-HLH_glszm_SmallAreaLowGrayLevelEmphasis,1,0.2
submand__sym__max__ct__wavelet-HLL_firstorder_Mean,1,0.2
submand__sym__max__ct__wavelet-HLL_glcm_MaximumProbability,1,0.2
submand__sym__max__ct__wavelet-LHH_firstorder_Skewness,1,0.2
submand__sym__max__ct__wavelet-LHH_glszm_SmallAreaHighGrayLevelEmphasis,1,0.2
submand__sym__max__ct__wavelet-LHH_glszm_ZoneVariance,1,0.2
submand__sym__max__ct__wavelet-LHL_glszm_SmallAreaEmphasis,1,0.2
submand__sym__max__ct__wavelet-LLH_glszm_SizeZoneNonUniformity,1,0.2
submand__sym__max__ct__wavelet-LLL_glcm_Contrast,1,0.2
submand__sym__max__ct__wavelet-LLL_glszm_LargeAreaHighGrayLevelEmphasis,1,0.2
submand__sym__mean__ct__log-sigma-1-0-mm-3D_glrlm_ShortRunLowGrayLevelEmphasis,1,0.2
submand__sym__mean__ct__log-sigma-5-0-mm-3D_glcm_InverseVariance,1,0.2
submand__sym__mean__ct__log-sigma-5-0-mm-3D_gldm_DependenceNonUniformityNormalized,1,0.2
submand__sym__mean__ct__original_glcm_Idn,1,0.2
submand__sym__mean__ct__original_gldm_SmallDependenceEmphasis,1,0.2
submand__sym__mean__ct__original_glszm_ZoneEntropy,1,0.2
submand__sym__mean__ct__wavelet-HHL_firstorder_RootMeanSquared,1,0.2
submand__sym__mean__ct__wavelet-HLH_firstorder_Energy,1,0.2
