feature,count,freq
parotid__sym__max__dose__wavelet-LHH_firstorder_Uniformity,1,0.2
parotid__sym__max__dose__wavelet-LHH_glrlm_LongRunLowGrayLevelEmphasis,1,0.2
parotid__sym__max__dose__wavelet-LHH_glszm_ZoneEntropy,1,0.2
parotid__sym__max__dose__wavelet-LHL_glszm_LowGrayLevelZoneEmphasis,1,0.2
parotid__sym__max__dose__wavelet-LLH_gldm_DependenceVariance,1,0.2
parotid__sym__max__dose__wavelet-LLL_firstorder_10Percentile,1,0.2
parotid__sym__max__dose__wavelet-LLL_firstorder_Range,1,0.2
parotid__sym__max__dose__wavelet-LLL_glcm_ClusterShade,1,0.2
parotid__sym__max__dose__wavelet-LLL_gldm_SmallDependenceHighGrayLevelEmphasis,1,0.2
parotid__sym__max__dose__wavelet-LLL_glszm_GrayLevelNonUniformity,1,0.2
parotid__sym__mean__dose__original_firstorder_Range,1,0.2
parotid__sym__mean__dose__original_firstorder_RobustMeanAbsoluteDeviation,1,0.2
parotid__sym__mean__dose__original_glszm_LargeAreaHighGrayLevelEmphasis,1,0.2
parotid__sym__mean__dose__original_glszm_SizeZoneNonUniformity,1,0.2
parotid__sym__mean__dose__wavelet-HHH_gldm_LargeDependenceLowGrayLevelEmphasis,1,0.2
parotid__sym__mean__dose__wavelet-HHH_gldm_SmallDependenceEmphasis,1,0.2
parotid__sym__mean__dose__wavelet-HHH_glrlm_LongRunHighGrayLevelEmphasis,1,0.2
parotid__sym__mean__dose__wavelet-HLL_glszm_GrayLevelVariance,1,0.2
parotid__sym__mean__dose__wavelet-LHL_glszm_LowGrayLevelZoneEmphasis,1,0.2
parotid__sym__mean__dose__wavelet-LLL_firstorder_RobustMeanAbsoluteDeviation,1,0.2
parotid__sym__mean__dose__wavelet-LLL_gldm_SmallDependenceHighGrayLevelEmphasis,1,0.2
parotid__sym__min__dose__log-sigma-3-0-mm-3D_firstorder_Mean,1,0.2
parotid__sym__min__dose__original_glszm_GrayLevelNonUniformityNormalized,1,0.2
